,Unnamed: 0,num_iters,km_perturb,kc_perturb,loss,k1,k2,theta1,theta2,circuit,perturbed
21,21,500,1.1,0.9,0.0675005305486426,0.0002035483940314,5.406092772095593e-05,5.954665239453931,9.02904057596085,Dual Control,True
22,22,500,1.25,0.9,0.068091383460236,0.0003405802729359,5.550819270520669e-05,5.01188175893673,9.46143880121529,Dual Control,True
23,23,500,1.5,0.9,0.0697785997015697,0.000918617892398,3.5807518945704366e-05,4.197873579901741,7.139955901592543,Dual Control,True
24,24,500,0.5,0.95,0.0617302613590876,0.000280464715286,6.145695576274833e-05,3.612613122287644,9.524542959730748,Dual Control,True
25,25,500,0.75,0.95,0.0632544247883853,0.0007792235571747,4.189144688073803e-05,2.9478884269856707,9.9426402845547,Dual Control,True
26,26,500,0.9,0.95,0.0646808490023728,0.0003247872433185,5.409973140367343e-05,4.162424859451605,9.697445377541674,Dual Control,True
27,27,500,0.95,0.95,0.0650507896780072,0.0003534326978685,6.011550647781469e-05,4.025783488074409,9.761189486639257,Dual Control,True
28,28,500,1.05,0.95,0.0652393912157581,0.0005969592763284,5.744651795231662e-05,2.926729940070509,9.875971157924743,Dual Control,True
29,29,500,1.1,0.95,0.0658555241300679,0.000296233970043,4.887572220788138e-05,5.116068337294809,9.811151067099566,Dual Control,True
30,30,500,1.25,0.95,0.0681225730096812,0.0003395901466129,8.649587937313336e-05,3.226579934085674,9.68704047492532,Dual Control,True
31,31,500,1.5,0.95,0.0679199813683742,0.000266029018492,3.819053014801946e-05,8.581840495320934,9.939976273955088,Dual Control,True
32,32,500,0.5,1.05,0.0601728751066556,0.000502442825126,9.11758259464926e-05,1.796141062732776,9.477303440899638,Dual Control,True
33,33,500,0.75,1.05,0.0618548734000544,0.0005850912853046,6.838745008196328e-05,2.190594237050648,9.834571805475877,Dual Control,True
34,34,500,0.9,1.05,0.0633403935225057,8.57680219928612e-05,5.325013922706227e-05,9.755439795036946,9.319711624095827,Dual Control,True
35,35,500,0.95,1.05,0.0636686914639753,0.0006716161741616,4.596963558480951e-05,3.0763782316384822,9.019514735250365,Dual Control,True
36,36,500,1.05,1.05,0.0631166339621035,0.0009946695385947,4.674646125012457e-05,2.4838788399472973,9.651013914196165,Dual Control,True
37,37,500,1.1,1.05,0.0647226122639461,9.205110393224778e-05,5.7784500145716144e-05,9.154703323348055,9.248421800376304,Dual Control,True
38,38,500,1.25,1.05,0.0650992187999718,0.0002456243907182,4.689089250014465e-05,6.053857446359125,9.715077624732302,Dual Control,True
39,39,500,1.5,1.05,0.066117358255646,0.0007781941616071,3.66004590972388e-05,4.532529878056515,9.84942467702843,Dual Control,True
40,40,500,0.5,1.1,0.0598672640007069,0.0001652149964888,5.772965826637735e-05,4.539607805523202,9.994219417159934,Dual Control,True
41,41,500,0.75,1.1,0.0605399799803086,0.0008023746373616,6.040085085001475e-05,2.0496549200764598,9.812737626724978,Dual Control,True
42,42,500,0.9,1.1,0.0626578497668464,0.0001083883707708,5.062052322998199e-05,8.411129169796421,9.162268923714617,Dual Control,True
43,43,500,0.95,1.1,0.0617950394851667,0.0009320703691918,4.896261515374198e-05,2.3814137636496957,9.794787772585778,Dual Control,True
44,44,500,1.05,1.1,0.0634925809548819,0.0001415236303723,5.121435648636186e-05,7.093672229699002,9.503633577049447,Dual Control,True
45,45,500,1.1,1.1,0.0632412214563109,0.0005287653664094,5.410494745728438e-05,3.218622347807077,9.688606914929002,Dual Control,True
46,46,500,1.25,1.1,0.0639987918703402,0.0005701525745471,3.723649984861377e-05,4.396499484125632,9.974025151811356,Dual Control,True
47,47,500,1.5,1.1,0.0651602493475007,0.0003526492095166,4.869214026448532e-05,4.953258321412458,9.991153823007856,Dual Control,True
48,48,500,0.5,1.25,0.0573974001988993,6.602654789145198e-05,7.14234328186478e-05,9.623468954588446,9.29500824861875,Dual Control,True
49,49,500,0.75,1.25,0.0592275400360264,0.0006275654217584,4.856531628517692e-05,2.612482882598765,9.821023541211458,Dual Control,True
