,Unnamed: 0,num_iters,best_losses,best_params,k1,k2,theta1,theta2
10,10,200,0.0641833850938365,"{'k1': 5.747921467497622e-05, 'k2': 2.3721553060530382e-05, 'theta1': 1.2832348028616054, 'theta2': 3.234239258929639}",5.747921467497622e-05,2.3721553060530382e-05,1.2832348028616054,3.234239258929639
11,11,200,0.0708370416410068,"{'k1': 6.441936765223149e-05, 'k2': 4.3405589377329976e-05, 'theta1': 4.444361551036851, 'theta2': 0.06941724543335792}",6.441936765223149e-05,4.3405589377329976e-05,4.444361551036851,0.06941724543335792
12,12,200,0.0665606216273688,"{'k1': 4.3865014907651286e-05, 'k2': 1.7120942904989946e-05, 'theta1': 5.775813640173355, 'theta2': 5.797115518451993}",4.3865014907651286e-05,1.7120942904989946e-05,5.775813640173355,5.797115518451993
13,13,200,0.0638500256190346,"{'k1': 5.3224032961203256e-05, 'k2': 2.1579616148111906e-05, 'theta1': 2.1161324884742623, 'theta2': 5.101307812219665}",5.3224032961203256e-05,2.1579616148111906e-05,2.1161324884742623,5.101307812219665
14,14,200,0.0630114081131087,"{'k1': 4.4980257152138965e-05, 'k2': 2.1626682715659897e-05, 'theta1': 3.792830980375805, 'theta2': 5.2946240343002975}",4.4980257152138965e-05,2.1626682715659897e-05,3.792830980375805,5.2946240343002975
15,15,200,0.0654647115438804,"{'k1': 5.826653014811366e-05, 'k2': 2.0504373486528914e-05, 'theta1': 7.824549587404118, 'theta2': 4.6056448385742295}",5.826653014811366e-05,2.0504373486528914e-05,7.824549587404118,4.6056448385742295
16,16,200,0.0655044573677524,"{'k1': 5.926182952064907e-05, 'k2': 3.2546914393650475e-05, 'theta1': 8.899490925603466, 'theta2': 3.499672224615604}",5.926182952064907e-05,3.2546914393650475e-05,8.899490925603466,3.499672224615604
17,17,200,0.0705488103983687,"{'k1': 3.6794654038065365e-05, 'k2': 4.5473296317449896e-05, 'theta1': 5.996411719249835, 'theta2': 2.1967908117795183}",3.6794654038065365e-05,4.5473296317449896e-05,5.996411719249835,2.1967908117795183
18,18,200,0.0633701803474992,"{'k1': 3.8764732135550634e-05, 'k2': 2.307631028417225e-05, 'theta1': 3.5066583214483265, 'theta2': 9.793577356234024}",3.8764732135550634e-05,2.307631028417225e-05,3.5066583214483265,9.793577356234024
19,19,200,0.0666064674480808,"{'k1': 6.658369738357966e-05, 'k2': 2.6418654299438838e-05, 'theta1': 0.7887315669416064, 'theta2': 3.241390497095246}",6.658369738357966e-05,2.6418654299438838e-05,0.7887315669416064,3.241390497095246
20,20,400,0.0629351336002039,"{'k1': 4.269074409954005e-05, 'k2': 2.860724459230094e-05, 'theta1': 6.7460044028135195, 'theta2': 2.626011186104792}",4.269074409954005e-05,2.860724459230094e-05,6.7460044028135195,2.626011186104792
21,21,400,0.062947271002454,"{'k1': 4.415998056626624e-05, 'k2': 2.9313760608006163e-05, 'theta1': 4.964513827141218, 'theta2': 3.201384889317663}",4.415998056626624e-05,2.9313760608006163e-05,4.964513827141218,3.201384889317663
22,22,400,0.0630196885010766,"{'k1': 4.1373499661411176e-05, 'k2': 2.8082283123115345e-05, 'theta1': 3.1492050728489103, 'theta2': 0.24685593713732024}",4.1373499661411176e-05,2.8082283123115345e-05,3.1492050728489103,0.24685593713732024
23,23,400,0.062476597061949,"{'k1': 4.651057373141525e-05, 'k2': 2.5462599249461716e-05, 'theta1': 7.4300053610936345, 'theta2': 1.377542740935772}",4.651057373141525e-05,2.5462599249461716e-05,7.4300053610936345,1.377542740935772
24,24,400,0.0625169311617812,"{'k1': 4.44837867040708e-05, 'k2': 2.6304556771990157e-05, 'theta1': 8.217250473836135, 'theta2': 7.717736796588192}",4.44837867040708e-05,2.6304556771990157e-05,8.217250473836135,7.717736796588192
25,25,400,0.0655748126476161,"{'k1': 5.144399854836735e-05, 'k2': 3.7282553398815515e-05, 'theta1': 5.467820137084603, 'theta2': 1.3606647079307295}",5.144399854836735e-05,3.7282553398815515e-05,5.467820137084603,1.3606647079307295
26,26,400,0.0629355164935562,"{'k1': 4.884362250233067e-05, 'k2': 2.8963640666943976e-05, 'theta1': 2.924118997962895, 'theta2': 5.5362467063043335}",4.884362250233067e-05,2.8963640666943976e-05,2.924118997962895,5.5362467063043335
27,27,400,0.0640081248594478,"{'k1': 3.764999936942359e-05, 'k2': 2.1478242018138616e-05, 'theta1': 6.441410849829698, 'theta2': 4.96145049497434}",3.764999936942359e-05,2.1478242018138616e-05,6.441410849829698,4.96145049497434
28,28,400,0.0631454231001502,"{'k1': 4.438696718343223e-05, 'k2': 3.0284158655426243e-05, 'theta1': 1.6202881013675026, 'theta2': 8.220585118662946}",4.438696718343223e-05,3.0284158655426243e-05,1.6202881013675026,8.220585118662946
29,29,400,0.0646484427303708,"{'k1': 5.262159435925033e-05, 'k2': 3.414574847101621e-05, 'theta1': 0.3149848125956122, 'theta2': 2.638417157271442}",5.262159435925033e-05,3.414574847101621e-05,0.3149848125956122,2.638417157271442
30,30,800,0.0625905718188094,"{'k1': 4.432345390157499e-05, 'k2': 2.352199950444623e-05, 'theta1': 8.19791863121816, 'theta2': 7.0249776630566}",4.432345390157499e-05,2.352199950444623e-05,8.19791863121816,7.0249776630566
