,num_iters,best_losses,best_params
17,200,0.06997205357840955,"{'k1': 0.0009371081759376637, 'k2': 2.037535338203231e-05, 'theta1': 5.584895965512366, 'theta2': 5.308786665151891}"
18,200,0.0708794155411159,"{'k1': 9.319847236095779e-05, 'k2': 2.6605428851905637e-05, 'theta1': 9.738295697200737, 'theta2': 5.657963122921913}"
19,200,0.07217540473910046,"{'k1': 0.0005445123981740401, 'k2': 2.4237970706704923e-05, 'theta1': 3.4322427514778955, 'theta2': 6.704854646194537}"
20,400,0.07004249819767894,"{'k1': 0.0006109274455093059, 'k2': 1.9594268160000267e-05, 'theta1': 7.5103497400760055, 'theta2': 1.1286631616686953}"
21,400,0.0700503366437951,"{'k1': 0.00016519167424660318, 'k2': 2.416184236597287e-05, 'theta1': 9.152832136246507, 'theta2': 7.952137632418481}"
22,400,0.07014286908808981,"{'k1': 0.0005818283037974516, 'k2': 2.328609305647082e-05, 'theta1': 4.413670634586328, 'theta2': 9.335840833517059}"
23,400,0.07097640073127187,"{'k1': 0.00033328424326566764, 'k2': 2.5373612117067804e-05, 'theta1': 4.677501082462436, 'theta2': 1.619236410817316}"
24,400,0.0700111752004682,"{'k1': 0.0004646826588149158, 'k2': 2.2219244349849225e-05, 'theta1': 5.875151170664063, 'theta2': 3.07608596623877}"
25,400,0.06995077721171086,"{'k1': 0.0005417175301475482, 'k2': 2.193299127326001e-05, 'theta1': 5.6237952771923405, 'theta2': 9.740515709552264}"
26,400,0.06999395425338915,"{'k1': 0.0005654201897789733, 'k2': 2.1541311865488223e-05, 'theta1': 5.454413880858587, 'theta2': 4.45829549660156}"
27,400,0.07011222289734242,"{'k1': 0.00015839087508579114, 'k2': 2.500318067754462e-05, 'theta1': 9.177780325278087, 'theta2': 2.363940594544077}"
28,400,0.06992632002669705,"{'k1': 0.0005712950152354898, 'k2': 2.1765268298224816e-05, 'theta1': 5.531776655468024, 'theta2': 7.758327551384148}"
29,400,0.07035113951446204,"{'k1': 0.0003272829908815524, 'k2': 2.342338636787791e-05, 'theta1': 5.910697747629106, 'theta2': 8.22955111058916}"
30,800,0.06989684122761028,"{'k1': 0.0006564081034578504, 'k2': 2.213537649293152e-05, 'theta1': 4.930599249917638, 'theta2': 2.0055260559005923}"
31,800,0.06974932021955048,"{'k1': 0.0009267603985139977, 'k2': 2.2189054239010436e-05, 'theta1': 4.049669844371981, 'theta2': 6.749553716031505}"
32,800,0.06975650407272971,"{'k1': 0.0009560629519324745, 'k2': 2.2413563326292396e-05, 'theta1': 3.949213290117295, 'theta2': 4.277318839939397}"
33,800,0.06968587030660829,"{'k1': 0.0009857444261998204, 'k2': 2.1544236782603716e-05, 'theta1': 4.215991162630437, 'theta2': 4.024681897983154}"
34,800,0.0698222888738147,"{'k1': 0.0008139525312373707, 'k2': 2.0115551417711046e-05, 'theta1': 5.7389286745203165, 'theta2': 0.25351377300730715}"
35,800,0.06993545395827055,"{'k1': 0.0007222456733556369, 'k2': 2.148547290466501e-05, 'theta1': 4.749509782409993, 'theta2': 4.838528799704625}"
36,800,0.06999021649038849,"{'k1': 0.0005282482892878655, 'k2': 2.0489948702001635e-05, 'theta1': 7.085619230592894, 'theta2': 9.659877204958725}"
37,800,0.06997824948048618,"{'k1': 0.0006471263488660728, 'k2': 2.2105763861090916e-05, 'theta1': 4.732682844103162, 'theta2': 1.1246980265507827}"
38,800,0.06971304523416753,"{'k1': 0.0009721944146722065, 'k2': 2.1333792244502505e-05, 'theta1': 4.256689797747876, 'theta2': 7.831197260217385}"
39,800,0.06980322491738242,"{'k1': 0.0007717884443421552, 'k2': 2.145786498851039e-05, 'theta1': 4.832260230145249, 'theta2': 6.1316962407694895}"
