,num_iters,km_perturb,kc_perturb,loss,k1,k2,theta1,theta2
32,500,0.5,1.05,0.062277423678025794,3.912332107129719e-05,2.1341433158731845e-05,3.671819479568751,5.66480878715951
33,500,0.75,1.05,0.06238831531907438,4.785133638766826e-05,2.9763808306201977e-05,4.051095223121764,8.861215926916952
34,500,0.9,1.05,0.06368491388427644,3.8224542039328574e-05,3.015554162268367e-05,1.693553075003181,7.731205752464504
35,500,0.95,1.05,0.061868212489029115,4.811899740546427e-05,2.4944980969080283e-05,9.14924393221505,5.842026962139855
36,500,1.05,1.05,0.06296573225994184,5.538499514261621e-05,2.5507352894256577e-05,9.285050029265598,9.775407178421727
37,500,1.1,1.05,0.06199915925737947,4.371754489647981e-05,2.5659614109634814e-05,6.196343658838664,8.774201142877356
38,500,1.25,1.05,0.06230361386728486,4.1913376379605546e-05,2.3132622639228833e-05,1.9971225370060774,8.536840065490845
39,500,1.5,1.05,0.0625339230732938,4.1637311724970145e-05,2.5468887880381187e-05,9.201718936104978,3.5293562431592833
40,500,0.5,1.1,0.06086407973572923,4.457205741990209e-05,2.2570689310228104e-05,6.184695284149915,2.678561577308146
41,500,0.75,1.1,0.06143587067859291,4.871410639176476e-05,2.1251095762703184e-05,4.997460584431799,6.272681611976216
42,500,0.9,1.1,0.06310146425148519,5.7288583456987474e-05,2.0952959477063588e-05,3.975619204116391,8.240640207663969
43,500,0.95,1.1,0.062424217298401266,5.266182313946875e-05,2.023769898103244e-05,5.11901646904439,5.157771770841179
44,500,1.05,1.1,0.06177444709415259,4.879789467129711e-05,2.770568910162689e-05,5.1535486804386395,2.9385283134957887
45,500,1.1,1.1,0.06174285297672012,4.187204069054696e-05,2.6277638552600505e-05,8.632824104165604,2.6022083362929043
46,500,1.25,1.1,0.06190735465339177,5.070618955826501e-05,2.1890368760310755e-05,1.5042920283151144,4.595591766557065
47,500,1.5,1.1,0.0629597322031614,5.703569801991228e-05,2.4569617120333203e-05,6.327340170657094,1.1139783496784772
48,500,0.5,1.25,0.05987773975940419,4.610096487617629e-05,1.8323997441091978e-05,4.345520500787959,8.615942624615105
49,500,0.75,1.25,0.06033317919764224,4.9604131344967435e-05,2.6717790324692343e-05,3.6547597891276125,6.570962375349404
50,500,0.9,1.25,0.06067234611526604,3.8323370747343455e-05,1.9651184124622974e-05,9.45210018362874,4.850716298982725
51,500,0.95,1.25,0.060273959053112586,4.980304345671117e-05,1.9032905911432424e-05,8.727338330681215,3.966363258872039
52,500,1.05,1.25,0.05983099290138326,4.528107779589775e-05,2.0205144717866123e-05,6.0456739445159124,1.6335844736314684
53,500,1.1,1.25,0.0607598276370111,5.054271710229711e-05,1.8236452397035357e-05,8.526849920447942,5.935616520331105
54,500,1.25,1.25,0.06117451747666927,4.021214833303003e-05,1.7654804372426164e-05,5.872788892249782,3.176251364461975
55,500,1.5,1.25,0.06066486461702475,5.1852072023290954e-05,2.5174447235418672e-05,7.664455105408885,1.2097772360575334
56,500,0.5,1.5,0.0576415434666102,4.21671491103567e-05,2.0101080114717204e-05,8.850614779462864,8.655955438828185
57,500,0.75,1.5,0.05772377253648313,4.294995788797777e-05,2.0302574784808623e-05,7.499667826050565,6.077180484654965
58,500,0.9,1.5,0.058292460628952325,5.2871286049097375e-05,2.0799110468967112e-05,2.535501632382148,5.586057966285807
59,500,0.95,1.5,0.059337303681641376,3.755383117148543e-05,2.2501499859303384e-05,2.399296743271452,9.443746777615555
60,500,1.05,1.5,0.05811019426091886,4.1480020426644814e-05,1.810340798798198e-05,1.9945952857498588,8.509398125469021
61,500,1.1,1.5,0.05830462432628661,5.0196238415958246e-05,2.287170054495149e-05,6.6996248407888555,8.562520345727524
62,500,1.25,1.5,0.057882187057344096,4.6775110159369025e-05,1.8760371721149728e-05,2.7598271622527566,7.696310339485881
63,500,1.5,1.5,0.058131553296929414,4.9452139700236304e-05,2.043817124285118e-05,5.174104367945658,3.48824441642806
64,500,0.5,0.5,0.0755928810117548,3.7616205065950386e-05,3.703633020261796e-05,1.1064621132642398,0.876418218979754
65,500,0.75,0.5,0.075098276797183,5.3137239852540284e-05,4.159368144522836e-05,9.07216120834612,8.968876495951926
66,500,0.9,0.5,0.07568262970960879,4.4055746990660284e-05,4.445721353178355e-05,7.676347498930753,6.726169592421205
67,500,0.95,0.5,0.07680552368469215,4.9900217024052544e-05,4.9849248738205004e-05,2.5021263808511724,5.06460533389133
68,500,1.05,0.5,0.07536371845230454,5.041811268866781e-05,4.249223778003161e-05,4.561087016673126,4.957496762409512
69,500,1.1,0.5,0.07550418118233101,4.559504057745086e-05,4.259995753604047e-05,2.2156419002985865,3.002526917962751
70,500,1.25,0.5,0.07750109221898666,5.145735268506989e-05,5.051952924357385e-05,6.236820562486502,0.39092001824304967
71,500,1.5,0.5,0.07665329273189855,4.537767326490882e-05,4.4892797178544296e-05,9.989320404192814,5.944748681442422
72,500,0.5,0.75,0.06657848830141057,4.303594967170629e-05,3.366739195408835e-05,3.8057467190843326,0.3934391693070354
73,500,0.75,0.75,0.06673142789044055,4.54974701732262e-05,3.331812601306241e-05,8.1843414518425,2.969930909497177
74,500,0.9,0.75,0.06868041004308376,5.9009825680490434e-05,3.230658432428401e-05,8.56124269294629,8.756208392733825
75,500,0.95,0.75,0.06780164511608999,3.992367663106519e-05,2.6263987631516133e-05,8.647389344800054,9.241680445143299
76,500,1.05,0.75,0.0685202038477842,5.457557275046643e-05,3.681775747289224e-05,6.340281184026711,3.128827813455856
77,500,1.1,0.75,0.0669864795592148,4.546373375955015e-05,3.200463124808142e-05,0.8557985182216195,7.70136415459567
78,500,1.25,0.75,0.06714771345716242,4.777521118599763e-05,3.0329545047556626e-05,3.050877802078076,9.820379462637183
79,500,1.5,0.75,0.06757545826765429,4.4204506069952056e-05,3.2934271319957705e-05,9.553297408674862,1.4299454490665509
80,500,0.5,0.9,0.06375907296482031,4.798595330531428e-05,2.4677569876640148e-05,7.1479646879512195,3.2888356698608954
81,500,0.75,0.9,0.06372530551442254,4.559389665008572e-05,2.7807145338744268e-05,3.3376128489175283,2.193374699960871
82,500,0.9,0.9,0.06462020955754372,5.345532807160242e-05,2.7674019847767127e-05,3.864203590155387,7.649502337500647
83,500,0.95,0.9,0.06464411002902257,4.5969477715328876e-05,3.262188248865506e-05,0.9813234553669015,3.220488684626646
84,500,1.05,0.9,0.0656920571197904,4.6636316602350346e-05,3.603798000032042e-05,3.2729444954859077,4.999674120263432
85,500,1.1,0.9,0.0647673167752778,4.2295733404077677e-05,3.1486668427894594e-05,7.841842931455965,3.6022521345641048
86,500,1.25,0.9,0.06611281844880779,4.3873835238930446e-05,2.084022461350413e-05,3.827348564594705,5.0367374635829645
87,500,1.5,0.9,0.06457639022638742,4.8760456297658824e-05,2.904889044043484e-05,8.091640888310591,1.2872624809356403
88,500,0.5,0.95,0.0627850798338628,4.7003221780946496e-05,2.7028312800347076e-05,0.16196818599079998,6.646252016357021
89,500,0.75,0.95,0.0634214675519642,4.550758363069295e-05,3.0345658178662937e-05,1.2454292849754522,7.887650650134584
90,500,0.9,0.95,0.06309777282293004,4.5675307791212634e-05,2.6848097270516543e-05,0.8628306397773506,4.683583086077439
91,500,0.95,0.95,0.06319868298134206,4.7449570740345975e-05,2.7077979925200024e-05,0.004223535503575349,9.026903274814734
92,500,1.05,0.95,0.06358431674762421,4.541046502745837e-05,2.9872099432840818e-05,2.443353352382413,1.3450442087696
