,num_iters,km_perturb,kc_perturb,loss,k1,k2,theta1,theta2
41,500,0.75,1.1,0.06053997998030869,0.0008023746373616508,6.040085085001475e-05,2.0496549200764593,9.812737626724978
42,500,0.9,1.1,0.06265784976684641,0.00010838837077081137,5.062052322998199e-05,8.411129169796421,9.162268923714615
43,500,0.95,1.1,0.06179503948516673,0.0009320703691918831,4.896261515374198e-05,2.3814137636496953,9.794787772585778
44,500,1.05,1.1,0.06349258095488193,0.000141523630372386,5.121435648636186e-05,7.093672229699002,9.503633577049449
45,500,1.1,1.1,0.06324122145631098,0.0005287653664094756,5.410494745728438e-05,3.2186223478070772,9.688606914929002
46,500,1.25,1.1,0.06399879187034024,0.0005701525745471551,3.723649984861377e-05,4.396499484125632,9.974025151811357
47,500,1.5,1.1,0.06516024934750075,0.00035264920951668896,4.869214026448532e-05,4.953258321412458,9.991153823007856
48,500,0.5,1.25,0.05739740019889938,6.602654789145198e-05,7.14234328186478e-05,9.623468954588446,9.29500824861875
49,500,0.75,1.25,0.05922754003602641,0.0006275654217584737,4.8565316285176916e-05,2.612482882598765,9.821023541211458
50,500,0.9,1.25,0.06030110234959941,0.0006513034542839389,5.474197897844761e-05,2.6333831549425946,9.96894500722758
51,500,0.95,1.25,0.06076919219638384,0.0003728747189742043,4.489152014702566e-05,3.945894163509153,9.871081981154864
52,500,1.05,1.25,0.060936036218509876,0.000735804667488931,5.9718749593282085e-05,2.1227831482521626,9.999092617751899
53,500,1.1,1.25,0.06208324625207923,7.479310882350361e-05,8.660166517988461e-05,9.223837508989092,9.525385889929103
54,500,1.25,1.25,0.06193700998273248,0.0008327516865128333,4.640454995820039e-05,2.4900343816219066,9.376979936088283
55,500,1.5,1.25,0.06345836233487631,0.0005129902970385107,3.83247596604104e-05,4.023860601598614,9.346023524817966
56,500,0.5,1.5,0.054962848885898634,0.0007808261600185809,7.32334180402315e-05,1.3687445571498846,9.604337728377475
57,500,0.75,1.5,0.056970622940170856,0.0008149786862291394,6.661412823967044e-05,1.5291702324639593,9.372613202254675
58,500,0.9,1.5,0.058512231732639586,0.0009111349097174472,9.484602742313655e-05,1.2529438241268571,9.659033367224653
59,500,0.95,1.5,0.05835286187405576,0.0004522246680906361,7.421859122914839e-05,2.3596573345706586,9.997761278435073
