,Circuit,Computational Time,Best Loss,Loss AUC,k1,k2,n1,n2,theta1,theta2,pc1,pc2,tsne1,tsne2
0,Downstream Activation,2.4881389141082764,0.0610321578761524,0.9345963643259088,4.85596978320964e-05,4.078870160390855e-05,3.1302629833330564,1.0684405904911398,0.9612341110599724,9.152680097663469,-0.8611098279860677,-0.9597187449501993,-3.95649,-11.276609
0,Downstream Activation,9.807065725326538,0.0621115737578782,6.520739777420087,4.857633075377984e-05,3.107440432561942e-05,2.523356406681255,2.2999489097642707,5.609870958647742,6.165159723478784,-1.109600101198586,0.030095627435224453,2.832352,-3.9387858
0,Downstream Activation,11.36706519126892,0.0620761770132232,12.980156689146536,4.453723220001108e-05,3.995128197954681e-05,1.312848954084355,3.114176431427892,8.280929004001697,7.212916147790275,-1.233102163114136,1.1796959873356339,10.3010845,-2.767698
0,Downstream Activation,9.841245889663696,0.061069925740413,7.454483746427158,4.800736766169106e-05,3.76502895162346e-05,1.4811719911794217,1.5683591252655942,0.1050205867863203,8.566113900863193,-0.531936521501361,-0.5341006131994012,-7.589034,-10.885353
0,Downstream Activation,3.8509738445281982,0.0628005499458926,2.240700600328265,4.4800583789677175e-05,2.8040615313864228e-05,1.4103902580232983,2.321110949160151,5.122418941044664,3.507930644197938,-0.8720935338922117,-0.1055346208613042,-4.901613,-2.3897862
0,Downstream Activation,5.741841793060303,0.0643854631123452,4.03994599469839,5.6862946813334805e-05,2.542560516992243e-05,3.486653576178002,2.1313049657923617,0.4740869943393567,2.17008490418898,-0.313269867160236,-1.2173703280509198,-2.4677024,-13.828117
0,Downstream Activation,4.491777896881104,0.0612555582060309,2.0254038091877016,4.434382264536999e-05,5.743224180117416e-05,2.532619892560484,2.807303483720188,1.8550269329895213,9.165113588623942,-0.6105232148817908,0.40434933774142745,-5.363162,-8.141649
0,Downstream Activation,8.970252990722656,0.0616503521463176,9.295373002199158,4.14073018390159e-05,3.0264389520964183e-05,3.9804370878774926,1.5904130973088817,5.641394885042775,7.557279722777244,-1.4189659067682994,-0.5089476531509105,-0.8750697,-10.370879
0,Downstream Activation,7.093736886978149,0.0651652923309532,6.06416235680571,6.125314155340888e-05,2.583990516284142e-05,1.9684259306451808,1.6379284353746206,0.7098264882925838,0.1316039651764001,-0.1929535024328758,-1.4498957922726095,5.4724355,8.12691
0,Downstream Activation,8.909806966781616,0.0631396647717164,9.248455069969584,5.199581120549976e-05,2.579899862286282e-05,1.7766567762323824,1.4417583374770766,1.7341149330763126,1.9990996379592896,-0.5445205607969641,-1.2403057927351682,4.9249983,7.940262
0,Downstream Activation,7.220889091491699,0.0638740872210248,5.79197983650363,4.372080512061377e-05,2.125602948718629e-05,3.7010369590249943,2.170718667194444,1.0019644039541808,2.2930513698059443,-0.47107502638082643,-1.1751513098742947,-2.3599539,-13.83583
0,Downstream Activation,10.53730297088623,0.0614306843583496,16.827215730624562,4.87568075750792e-05,4.1091533237142745e-05,2.268008968917304,1.258738944421557,8.274840244026885,7.507707658339669,-1.6446034386342216,-0.1040478230473149,1.003876,-1.6472963
0,Downstream Activation,5.520730257034302,0.0614535544666044,4.818210913932145,4.7549731168030745e-05,3.104432557611442e-05,3.004729745047982,1.9015602818009416,2.742930374399764,7.830082646285946,-0.9209736414121741,-0.42435711972035345,-3.9494717,-9.811429
0,Downstream Activation,6.381109952926636,0.0611372246268238,8.870369611890697,4.309946858951757e-05,5.807275934564988e-05,1.1759566163388826,2.9940652305149595,4.490174588521192,9.3850023351923,-0.8213749684962662,1.0535447304074859,0.15873206,-7.1844234
0,Downstream Activation,7.0296666622161865,0.063378735870326,4.373605550825336,4.4036679533982445e-05,2.3701499383945087e-05,2.6184032084625115,3.215819035721102,9.9417579359776,3.765537707526964,-1.4234449039279229,0.7512878702407674,9.75508,-7.2330356
