,circuit,initialization,loss,k1_trace,k2_trace,n1_trace,n2_trace,theta1_trace,theta2_trace,time,loss_auc
2,nc,98,0.7166780550043729,0.00077332448402961,0.0005579943636457804,3.1632635575757395,1.6573282454667932,7.72675248923997,0.31005888612481847,7.805633783340454,28.962141417193138
3,nc,98,0.6593102056535123,0.0007063920196717926,0.0005162360662640463,3.1839850258116735,1.6301091320493526,7.729622242953781,0.3058369413171608,7.805633783340454,28.962141417193138
4,nc,98,0.5895890102664282,0.0006516654887771596,0.00044161375950069805,3.160764503098506,1.655857183273659,7.730679711410139,0.3047299662541445,7.805633783340454,28.962141417193138
5,nc,98,0.5212942779429109,0.000584372380727201,0.0003813271672895631,3.188020350626052,1.6598928619332773,7.731204579975345,0.3079710274704473,7.805633783340454,28.962141417193138
6,nc,98,0.46067824289764225,0.0005182091595431443,0.0003339342355462848,3.186445612993743,1.6565309229915437,7.725925446330865,0.3103702576545681,7.805633783340454,28.962141417193138
7,nc,98,0.39544901733119225,0.0004640946352204897,0.0002679847621731873,3.222545903589596,1.6551745995496914,7.723281792719429,0.3076901006012702,7.805633783340454,28.962141417193138
8,nc,98,0.3329949146177831,0.00038733929758016635,0.00022749534223137286,3.2140005583119184,1.663298542130773,7.726872521165274,0.31091635318025346,7.805633783340454,28.962141417193138
9,nc,98,0.26438938484158087,0.0003211667985679087,0.00016714563991231167,3.250462707670367,1.682475414368786,7.726057487603741,0.3123841578987367,7.805633783340454,28.962141417193138
10,nc,98,0.19714232882098018,0.0002542737307246525,0.00010973693158263637,3.2489725365441022,1.722437040386958,7.723547934675426,0.3123054223646928,7.805633783340454,28.962141417193138
11,nc,98,0.13076186367074352,0.00018608793120809792,5.201059308253554e-05,3.2663375680370996,1.7193663765503624,7.721809872857294,0.3160541653595447,7.805633783340454,28.962141417193138
12,nc,98,0.08911779255850577,0.00011977028389522441,2.7050667869717165e-05,3.2461715537629643,1.745165962572035,7.7180074524867655,0.3110934749335652,7.805633783340454,28.962141417193138
13,nc,98,0.06526900823933407,6.196922611947957e-05,2.7456144536296745e-05,3.289275657773504,1.7334581011942434,7.711793196240462,0.31392567803117793,7.805633783340454,28.962141417193138
14,nc,98,0.06434187615537848,4.097089713643266e-05,3.305516037024832e-05,3.3650094186398722,1.7882754522487347,7.714201032083043,0.31248550670271236,7.805633783340454,28.962141417193138
15,nc,98,0.06274414297127831,4.60552390044971e-05,2.8483692278534213e-05,3.4509316238649936,1.749382764509257,7.711246279400515,0.3138453901367474,7.805633783340454,28.962141417193138
