,circuit,loss,k1,k2,theta1,theta2,Circuit
32,"((0, 1, 0), (0, 0, 1))",568840.1170218036,1.024337763257841,0.05748406260951988,4.752901674307304,2.5155790565874305,Upstream Repression
33,"((0, 1, 0), (0, 0, 1))",57234174.960047156,2.85889210855677,1.5062674232709088,6.611027034407768,9.906709790917017,Upstream Repression
34,"((0, 1, 0), (0, 0, 1))",77537741.27143978,4.33379240283959,2.9765126697108872,3.0806879168300396,1.1184704845147904,Upstream Repression
35,"((0, 1, 0), (0, 0, 1))",22076984.471465323,1.408409760679023,2.3813954027725273,5.4530727897697195,2.8663653754069216,Upstream Repression
36,"((0, 1, 0), (0, 0, 1))",1788067.1088706483,0.3858798957113642,3.7747799338808217,1.4660213634910817,1.7358407578567208,Upstream Repression
37,"((0, 1, 0), (0, 0, 1))",5241747.173109921,0.9115114491338313,0.39508588163683545,6.842763587309257,4.12647134239073,Upstream Repression
38,"((0, 1, 0), (0, 0, 1))",50335297.72490909,2.219654298182382,2.737536476497024,5.868450681856815,5.515723703074178,Upstream Repression
39,"((0, 1, 0), (0, 0, 1))",68107805.95094869,3.519155883230009,1.1209679693744927,7.551740483746753,4.707998402488202,Upstream Repression
40,"((0, 1, 0), (0, 0, 1))",1181232.2522279273,0.28463584864118685,3.260780077146812,9.37746418348298,0.8947204464807763,Upstream Repression
41,"((0, 1, 0), (0, 0, 1))",2041.618836291883,0.00036622220078732365,4.080710655686627,4.546765616535277,2.864322178714011,Upstream Repression
42,"((0, 1, 0), (0, 0, 1))",4050863.8713008235,0.5375572391460928,4.020983676324763,4.383166839548895,3.888197620015805,Upstream Repression
43,"((0, 1, 0), (0, 0, 1))",76857085.71605733,3.2637352836917604,4.1792453003921075,3.370032958657261,4.545620299231472,Upstream Repression
44,"((0, 1, 0), (0, 0, 1))",41592682.468613885,1.8137304131330807,4.47339690602729,5.860167664233613,2.052340330364249,Upstream Repression
45,"((0, 1, 0), (0, 0, 1))",78122472.55737463,2.574062451419038,3.3364901178037356,7.844925319529416,5.714137569452182,Upstream Repression
46,"((0, 1, 0), (0, 0, 1))",14179258.473064778,1.4701380099299752,3.7567787480709702,1.6925374800604946,0.0660694168213336,Upstream Repression
47,"((0, 1, 0), (0, 0, 1))",183071587.39156154,3.904365469366305,4.627685704564406,8.896528852099905,6.968254672151836,Upstream Repression
