,circuits,k1,k2,theta1,theta2,loss,Circuit
64,"[(0, 0, 1), (0, 0, 1)]",2.0,2.0,1e-07,0.001,1.489067875982672,No Control
65,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,0.00017091204714328185,1e-07,0.659954490804955,Dual Control
66,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,0.00015401790236573362,1e-07,0.6430605019991551,Dual Control
67,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,0.00013092087481338756,1e-07,0.6199637359798575,Dual Control
68,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,9.647217827066851e-05,1e-07,0.5855156695519304,Dual Control
69,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,5.191262392018485e-05,1e-07,0.5409581173680775,Dual Control
70,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,1e-07,1e-07,0.49300483533942213,Dual Control
71,"[(0, 1, 0), (0, 0, 1)]",1.0,2.0,0.00092645180706023,0.0005911259402991536,1.6056504136157792,Upstream Repression
72,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,1e-07,1.5460463596209207e-06,0.4907550576160967,Dual Control
73,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,0.00023273148848189788,0.00031440711702561695,0.5886960329081651,Dual Control
74,"[(0, 0, 1), (1, 0, 0)]",2.0,0.0,0.0005265451148792334,0.0003661001696106935,0.9553025230917342,Downstream Activation
75,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,1e-07,1e-07,0.4930048353394062,Dual Control
76,"[(0, 0, 1), (0, 0, 1)]",2.0,2.0,0.00012763869451946496,0.000519170768447736,0.6709819225134305,No Control
77,"[(0, 0, 1), (0, 0, 1)]",2.0,2.0,6.326868254320043e-05,0.0005099586569320282,0.5873868442851278,No Control
78,"[(0, 1, 0), (0, 0, 1)]",1.0,2.0,0.0004062129963285662,0.0009439891289256353,1.4131266281855377,Upstream Repression
79,"[(0, 0, 1), (0, 0, 1)]",2.0,2.0,0.0007315755718247966,0.0009845990236764027,1.8133631500770806,No Control
80,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,0.0003486680770561479,0.0004758013902792004,0.8815811637826297,Dual Control
81,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,1e-07,0.0006683243533701368,1.1573923305601423,Dual Control
82,"[(0, 0, 1), (1, 0, 0)]",2.0,0.0,0.00017894214283517427,0.000657546126720603,0.8689485621370204,Downstream Activation
83,"[(0, 0, 1), (0, 0, 1)]",2.0,2.0,1e-07,0.001,1.489067875982672,No Control
84,"[(0, 0, 1), (1, 0, 0)]",2.0,0.0,0.00047649400996989627,0.0008698330301756292,1.4173874280681458,Downstream Activation
85,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,0.0005339185441060177,0.0008950180959207436,1.5062269660970367,Dual Control
86,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,0.00024949779612467384,0.0002684575650617801,0.5628691916683477,Dual Control
87,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,0.00011869155803487144,0.00032068732539081537,0.46215237257769876,Dual Control
88,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,0.00039359579672256184,0.00023142113114635478,0.6704099042279568,Dual Control
89,"[(0, 0, 1), (1, 0, 0)]",2.0,0.0,8.791007384121681e-05,0.0001656757867341939,0.27146016735015344,Downstream Activation
90,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,1e-07,0.001,1.4890678765257457,Dual Control
91,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,1e-07,1e-07,0.49300483533942296,Dual Control
92,"[(0, 0, 1), (0, 0, 1)]",2.0,2.0,0.00027450564663022243,0.00010189717218228883,0.40177023687954483,No Control
93,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,0.0006239167925244021,0.0005612831206994365,1.2675991156223407,Dual Control
94,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,0.0009307028464753387,0.00041451833307787274,1.4164407659727938,Dual Control
95,"[(0, 0, 1), (1, 0, 0)]",2.0,0.0,0.00018009098649321648,0.00023833063825563322,0.4520631328159689,Downstream Activation
96,"[(0, 0, 1), (1, 0, 0)]",2.0,0.0,8.269130391825822e-05,0.00017176557453935635,0.2714597179769776,Downstream Activation
97,"[(0, 0, 1), (1, 0, 0)]",2.0,0.0,0.00038365231618264696,0.0004371039939564761,0.8833229249039345,Downstream Activation
98,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,0.00034933925916790474,0.0001967079258606045,0.5862979011395162,Dual Control
99,"[(0, 0, 1), (1, 0, 0)]",2.0,0.0,0.00010221010726209913,0.0009640441453774675,1.0861428328539693,Downstream Activation
100,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,1e-07,0.00019176237091732135,0.6808311320477732,Dual Control
101,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,4.2469104243519445e-05,0.00013256660346068507,0.18845476682255127,Dual Control
102,"[(0, 0, 1), (1, 0, 0)]",2.0,0.0,0.00010963599281352282,0.0009824140138375592,1.1131672386607636,Downstream Activation
103,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,1e-07,1e-07,0.49300483533940526,Dual Control
104,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,0.00043239596688870514,0.0005336355281953716,1.0337550803133135,Dual Control
105,"[(0, 0, 1), (1, 0, 0)]",2.0,0.0,0.00039756435757546917,0.00041517938782957385,0.8766087920107075,Downstream Activation
106,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,1e-07,0.001,1.4890678773284525,Dual Control
107,"[(0, 0, 1), (1, 0, 0)]",2.0,0.0,0.0003731646798437947,0.0004920904353039201,0.9255547957433965,Downstream Activation
108,"[(0, 0, 1), (0, 0, 1)]",2.0,2.0,0.0003547782293455982,0.00012470868155627177,0.5095950961401186,No Control
109,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,0.00026399956752868134,0.0005894042916461308,0.8985008958982879,Dual Control
110,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,0.001,0.001,2.1188220617842006,Dual Control
111,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,3.51201313926164e-05,4.027558573957584e-05,0.09085160484089495,Dual Control
112,"[(0, 0, 1), (1, 0, 0)]",2.0,0.0,0.00035945403056418567,0.0004272996474776238,0.8460654876470263,Downstream Activation
113,"[(0, 0, 1), (0, 0, 1)]",2.0,2.0,0.0002611308270867293,0.0007039734092737524,1.0096968933141117,No Control
114,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,0.0004118169756261633,0.00044778098635302107,0.9255709639602702,Dual Control
115,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,7.259611056847665e-05,0.000596503948356161,0.68441371842815,Dual Control
116,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,0.001,0.001,2.1188220619152753,Dual Control
117,"[(0, 0, 1), (1, 0, 0)]",2.0,0.0,0.0009371512877334243,9.189965208863379e-05,1.057132640805366,Downstream Activation
118,"[(0, 1, 0), (0, 0, 1)]",1.0,2.0,4.4789072231817784e-05,8.980418713410599e-05,0.1480074763873035,Upstream Repression
119,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,0.0005173890499089063,0.0008041987246570611,1.3973820491066826,Dual Control
120,"[(0, 0, 1), (0, 0, 1)]",2.0,2.0,0.00037626099766940673,0.00013903847356202653,0.5478644110064852,No Control
121,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,0.0009453330822533502,0.0009718729067911059,2.0328784181501565,Dual Control
122,"[(0, 1, 0), (0, 0, 1)]",1.0,2.0,2.8404967193869748e-05,0.0001645320712440943,0.21013740235815942,Upstream Repression
123,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,0.00012548216219639895,0.00012984080182097487,0.28050001383271167,Dual Control
124,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,0.00032169134563941816,0.00041936194934264257,0.7949709374801929,Dual Control
125,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,0.00020246919362729515,0.00020709662507276884,0.44704962529204384,Dual Control
126,"[(0, 1, 0), (0, 0, 1)]",1.0,2.0,0.00011469720445333281,0.0009170644513106815,1.05372435421046,Upstream Repression
127,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,0.0009078984737854701,0.00043673826929763567,1.4179837755190086,Dual Control
128,"[(0, 0, 1), (1, 0, 0)]",2.0,0.0,0.0007161675752901987,0.0008194909030565154,1.6329428863891933,Downstream Activation
129,"[(0, 1, 0), (0, 0, 1)]",1.0,2.0,0.0008176399231440788,0.0005391168231044799,1.439323250905792,Upstream Repression
130,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,1e-07,1e-07,0.4930048353394234,Dual Control
131,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,0.001,0.001,2.1188220616348805,Dual Control
132,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,0.000597064515087159,0.0003931610682798874,1.0565316025616265,Dual Control
133,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,0.0005247464238075779,0.00020223359047395889,0.7701904743254677,Dual Control
134,"[(0, 0, 1), (1, 0, 0)]",2.0,0.0,0.0009193504442425635,0.000594802436440118,1.6025025533893096,Downstream Activation
135,"[(0, 0, 1), (1, 0, 0)]",2.0,0.0,0.0008865218054132882,7.945013262623415e-07,1.3030566002810653,Downstream Activation
136,"[(0, 0, 1), (1, 0, 0)]",2.0,0.0,0.0002225167525043022,0.000898615396745492,1.16013401995383,Downstream Activation
137,"[(0, 0, 1), (1, 0, 0)]",2.0,0.0,0.0004442552335491356,0.00025315917115736414,0.7462043334432774,Downstream Activation
138,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,0.0006601748435955955,0.00098361944989003,1.7338579620783743,Dual Control
139,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,0.00031279671689875754,0.00031206862807253564,0.6773559442251643,Dual Control
140,"[(0, 1, 0), (0, 0, 1)]",1.0,2.0,0.0006795207420274124,0.00011358143734813996,0.8241043368563185,Upstream Repression
141,"[(0, 0, 1), (1, 0, 0)]",2.0,0.0,3.472394648857131e-05,0.0002409804349333903,0.2902966793250341,Downstream Activation
142,"[(0, 0, 1), (1, 0, 0)]",2.0,0.0,0.0002375273703436361,6.925816768779363e-05,0.3262387741942571,Downstream Activation
143,"[(0, 0, 1), (1, 0, 0)]",2.0,0.0,5.930394024889075e-05,0.0001311188231181205,0.20435983084430254,Downstream Activation
144,"[(0, 0, 1), (1, 0, 0)]",2.0,0.0,0.00014286289236998783,0.0005320153753372457,0.7015730268433534,Downstream Activation
145,"[(0, 0, 1), (1, 0, 0)]",2.0,0.0,0.000876211570970689,0.000426401263361297,1.374699141235832,Downstream Activation
146,"[(0, 0, 1), (1, 0, 0)]",2.0,0.0,0.0008154447557302947,0.0001525532537194879,1.0060660611488512,Downstream Activation
147,"[(0, 1, 0), (0, 0, 1)]",1.0,2.0,0.00045009016346502233,0.00048186262668953447,1.0022198511848848,Upstream Repression
148,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,0.0007744239877426967,0.00099598653505234,1.8717686866254426,Dual Control
149,"[(0, 0, 1), (1, 0, 0)]",2.0,0.0,0.00048322821788067416,0.0007801282460586842,1.3354143826676586,Downstream Activation
150,"[(0, 1, 0), (0, 0, 1)]",1.0,2.0,0.0006931314852614964,0.00036939837052447184,1.127252107023928,Upstream Repression
151,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,1e-07,1e-07,0.49300483533940587,Dual Control
152,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,0.00010884042138115188,0.0003380058928870637,0.46794291360651075,Dual Control
153,"[(0, 1, 0), (0, 0, 1)]",1.0,2.0,0.0008259496096628088,0.000949211874042605,1.8821410768048383,Upstream Repression
154,"[(0, 0, 1), (1, 0, 0)]",2.0,0.0,0.0005924653992294082,0.0008159676569380967,1.4923869584824734,Downstream Activation
155,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,0.00012103072316754505,0.0005551163493274286,0.6992068563914482,Dual Control
156,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,1e-07,1e-07,0.4930048353394467,Dual Control
157,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,0.0005424867378470109,0.0002456833755875806,0.8371875854043427,Dual Control
158,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,0.0003171915904386852,0.0006813724176480813,1.0507460152849335,Dual Control
159,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,0.00020343851324477569,0.00019170291071170147,0.4313583910793494,Dual Control
160,"[(0, 0, 1), (0, 0, 1)]",2.0,2.0,0.0002814128852405528,0.00010122234100670451,0.4080055703691097,No Control
161,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,1e-07,1e-07,0.49300483533942296,Dual Control
162,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,0.0003082185015727041,0.0005969204825149132,0.9562704432143635,Dual Control
163,"[(0, 0, 1), (1, 0, 0)]",2.0,0.0,0.0004215409528301172,0.0005899765425931044,1.0772277347901735,Downstream Activation
164,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,0.00040572933025836354,0.00029231695082923884,0.7509049362917847,Dual Control
165,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,0.000694278626400223,0.00029406903683088913,1.0446192890314845,Dual Control
166,"[(0, 0, 1), (1, 0, 0)]",2.0,0.0,0.000339823081953815,5.271613260885533e-05,0.4102389206192751,Downstream Activation
167,"[(0, 0, 1), (1, 0, 0)]",2.0,0.0,0.0002814207998737325,4.379712706855383e-05,0.3408247445305907,Downstream Activation
168,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,0.0004063117929827973,0.00031806391409876244,0.7801195046340687,Dual Control
169,"[(0, 1, 0), (0, 0, 1)]",1.0,2.0,0.00043379742440256494,0.0001358182958782456,0.6023697831071471,Upstream Repression
