,circuits,k1,k2,theta1,theta2,loss,Circuit,pc1,pc2,tsne1,tsne2
20,"[(1, 0, 0), (0, 0, 1)]",0.0,2.0,0.001,0.001,2.1188220618216205,Invalid Circuit,0.4415275726182688,3.0358311571471974,2.2515566,8.539845
21,"[(0, 0, 1), (0, 0, 1)]",2.0,2.0,6.104893255450436e-05,0.00013789183684460678,0.2130377556444457,No Control,-0.728982445139202,-1.2386653745919807,-5.532104,0.58863395
22,"[(0, 0, 1), (0, 0, 1)]",2.0,2.0,0.0005542899589767888,0.0005861608648493771,1.2217618119952793,No Control,0.6533226131244207,0.38120439700796266,8.440899,2.801096
23,"[(0, 1, 0), (0, 0, 1)]",1.0,2.0,0.0009274452596080735,5.134089220057748e-05,0.9984469368514636,Upstream Repression,-0.37053813961752696,0.9038247436369801,-1.841817,5.3217864
24,"[(0, 1, 0), (0, 1, 0)]",1.0,1.0,1.6544592714905215e-05,0.0006186418837697555,0.668020174128991,Invalid Circuit,-0.1824799031352412,-0.5920015078315982,-6.4468503,-3.4300292
25,"[(0, 1, 0), (0, 1, 0)]",1.0,1.0,1e-07,1e-07,0.4930048353394059,Invalid Circuit,-1.1488558706076937,-1.5382052381435232,-3.0087059,-1.2613785
26,"[(0, 1, 0), (0, 1, 0)]",1.0,1.0,0.001,0.001,2.1188220617857714,Invalid Circuit,1.79235882348939,1.880358389637801,4.059761,4.7090015
27,"[(1, 0, 0), (0, 0, 1)]",0.0,2.0,0.00018638968552432862,0.0007956556399105574,1.0156302881066228,Invalid Circuit,-1.0227804132103606,1.154751838612349,-8.439719,6.043212
28,"[(0, 1, 0), (0, 1, 0)]",1.0,1.0,0.001,0.001,2.1188220618643436,Invalid Circuit,1.79235882348939,1.880358389637801,4.0042996,4.7114882
29,"[(1, 0, 0), (0, 0, 1)]",0.0,2.0,0.0006684924930744599,0.0003975238368659429,1.1334869909244916,Invalid Circuit,-0.9467444415318016,1.5019099937014728,-2.629382,11.601808
30,"[(0, 1, 0), (0, 0, 1)]",1.0,2.0,0.0009333178233499329,0.0003577186056775046,1.3562085938577653,Upstream Repression,0.10490942916695137,1.3680897347054706,-0.4914717,5.541828
31,"[(1, 0, 0), (0, 1, 0)]",0.0,1.0,0.0002875892555286865,0.0006620057112459392,0.9978594151148502,Invalid Circuit,-0.4694705353845952,0.5870793954002038,-5.256505,7.1464076
32,"[(0, 1, 0), (0, 0, 1)]",1.0,2.0,0.0006995462194112058,0.0005371493276470709,1.3180157916719089,Upstream Repression,0.04726838170374806,1.1796156255769774,0.34772226,4.771015
33,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,0.0007463643475724894,9.462414109510288e-05,0.8689253274537421,Dual Control,0.6662939707554104,-0.5166829985039941,3.8121119,-5.4106746
34,"[(0, 0, 1), (1, 0, 0)]",2.0,0.0,0.0009081178610722049,0.00026700694059041347,1.2295407491654642,Downstream Activation,1.8954307035456606,-0.5368993715685164,8.636218,-5.175305
35,"[(1, 0, 0), (1, 0, 0)]",0.0,0.0,0.0008762793694336524,0.0006774226369287149,1.648790887482104,Invalid Circuit,1.0018101828936385,1.1858550825697232,7.483528,-11.013162
36,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,0.00022476787775197734,0.0005619839291216223,0.8262338785410248,Dual Control,0.6398524662484167,-0.8381609557265751,0.59028184,-9.967485
37,"[(0, 0, 1), (0, 1, 0)]",2.0,1.0,0.00023949087059853236,0.0005532744536412243,0.8344109543037873,Invalid Circuit,0.7708643000699507,-0.8448837741216051,7.751217,-0.2938322
38,"[(0, 1, 0), (0, 0, 1)]",1.0,2.0,0.0004996813168604446,0.0009304100967834977,1.503594593119977,Upstream Repression,0.36368923149538757,1.373016362144088,1.7538812,4.435914
39,"[(0, 0, 1), (0, 1, 0)]",2.0,1.0,0.00039887006597539594,0.0006048863136908879,1.066530134038084,Invalid Circuit,1.0753692066148066,-0.45927605919928105,8.570372,-0.60374355
40,"[(0, 0, 1), (1, 0, 0)]",2.0,0.0,0.0001228571787118161,0.00045311437389545275,0.5993660424777798,Downstream Activation,1.0666023451840667,-1.7858180127286734,0.7356138,-15.18829
