,circuit,loss,k1,k2,theta1,theta2,Circuit
644,"((0, 0, 1), (1, 0, 0))",0.12429029386025307,0.0001702101881356561,0.0001417554407355545,8.019947949339628,9.996933031266964,Downstream Activation
645,"((0, 0, 1), (1, 0, 0))",0.09315478978174485,2.162337439677775e-05,4.968134343916081e-05,9.60827660560631,0.08894303361945166,Downstream Activation
646,"((0, 1, 0), (1, 0, 0))",0.38923164874058913,0.0006781329148721125,0.0007204881507854283,6.484797474414584,4.51016034334673,Dual Control
647,"((0, 0, 1), (1, 0, 0))",0.07811232379185941,9.534237801206707e-05,2.4245960771746987e-05,7.296200498358696,8.698937626262783,Downstream Activation
648,"((0, 0, 1), (0, 0, 1))",0.315914916022,0.0001140551020288397,0.0004905555505303309,9.470981686669749,5.8708715953754,No Control
649,"((0, 0, 1), (1, 0, 0))",0.4232455677447128,0.000765371939642945,0.00011418066424590563,8.306669018592226,9.79198975494895,Downstream Activation
650,"((0, 0, 1), (1, 0, 0))",0.422470127808386,1.570663972163038e-06,0.0001619185104071476,9.083518523874773,9.140280058346297,Downstream Activation
651,"((0, 0, 1), (1, 0, 0))",0.06898540106771867,6.90739635631119e-05,7.890316660114194e-05,7.748533963208893,9.368084925577026,Downstream Activation
652,"((0, 0, 1), (1, 0, 0))",0.06826838231951912,4.447440005890289e-05,0.00018066586990165371,6.102205074849026,7.9775935065907575,Downstream Activation
653,"((0, 1, 0), (0, 0, 1))",0.2562557664053209,0.00010530089235584678,0.00039551042275157557,1.3836885408413804,8.719233662801718,Upstream Repression
654,"((0, 0, 1), (1, 0, 0))",0.11708089962703119,0.0001456513816004299,0.00020562027914992778,9.430663877594885,7.541671631579682,Downstream Activation
655,"((0, 0, 1), (1, 0, 0))",0.5264898582591632,0.0001153793462014165,5.776886723619058e-07,8.857291528651787,8.828639983491788,Downstream Activation
656,"((0, 0, 1), (1, 0, 0))",0.1263693437882359,0.00019454062290959174,5.7360398584054244e-05,9.241956651511453,9.656834270359562,Downstream Activation
657,"((0, 1, 0), (1, 0, 0))",0.5523988038478704,0.0008284893510481478,0.000303681935678055,3.748023150187101,0.06128011247207965,Dual Control
658,"((0, 0, 1), (1, 0, 0))",0.07911640263621221,2.3954115282593453e-05,9.52457595276244e-05,9.99903591812589,8.592898237049907,Downstream Activation
659,"((0, 0, 1), (0, 0, 1))",0.5307343527321678,6.37901332520223e-05,0.0009667034901247238,1.612060590698468,7.005045035833774,No Control
660,"((0, 0, 1), (1, 0, 0))",0.5325919820607339,9.28075286590294e-05,2.532848709288336e-07,5.509667333224303,7.220739967621303,Downstream Activation
661,"((0, 0, 1), (1, 0, 0))",0.0649968226447132,5.3663582845631856e-05,0.00013021286406556974,8.598849027638808,9.980227441939029,Downstream Activation
662,"((0, 0, 1), (1, 0, 0))",0.10791287195002577,0.00013267552454768796,0.00023427730623825057,9.648768713305973,9.083212883761988,Downstream Activation
663,"((0, 0, 1), (1, 0, 0))",0.4620323613894199,7.476358447336883e-07,3.035238289716921e-05,9.813011687058617,8.296566402271,Downstream Activation
664,"((0, 1, 0), (0, 0, 1))",0.6775686764933491,0.0008347334169302946,0.0004896206409510776,7.8388304575083,7.702862390546088,Upstream Repression
665,"((0, 0, 1), (1, 0, 0))",0.13267095165261833,0.00017165163819672533,0.0003163757720363794,9.992080660111496,9.379672997249855,Downstream Activation
666,"((0, 0, 1), (1, 0, 0))",0.06857897037081997,6.761252640871191e-05,7.785143141215041e-05,8.361171296005827,8.917025221262977,Downstream Activation
667,"((0, 0, 1), (1, 0, 0))",0.08349324115983948,3.8900236142523243e-05,0.0009136149771695828,8.982914588220634,8.041785932876595,Downstream Activation
668,"((0, 1, 0), (1, 0, 0))",0.2382120969148851,0.0004282784453872109,0.0005830424900752498,5.644351108937423,5.90388885059345,Dual Control
669,"((0, 0, 1), (1, 0, 0))",0.10595468988154927,0.0001059476046588933,0.0007037045468288497,8.082081535348635,7.669783222811837,Downstream Activation
670,"((0, 0, 1), (1, 0, 0))",0.16494831921010994,0.00022633019840242877,0.00025244991867192626,9.367773547242177,9.529069712032083,Downstream Activation
671,"((0, 0, 1), (0, 0, 1))",0.3568624386400027,0.00022732968172111258,0.0004422182106945005,9.87862993441654,2.1424766934452166,No Control
672,"((0, 0, 1), (1, 0, 0))",0.12671391280774658,0.000155198001986921,0.0005508575327400851,6.628478748094505,9.99079848581876,Downstream Activation
673,"((0, 0, 1), (1, 0, 0))",0.5349109085933558,8.507793733661956e-05,1.3947514577930932e-07,9.558113901356785,8.67147247646753,Downstream Activation
674,"((0, 0, 1), (1, 0, 0))",0.5026172109862108,0.0008880670649726731,0.0001496984290356624,9.083705260165239,3.50883758641395,Downstream Activation
675,"((0, 1, 0), (0, 0, 1))",0.7747481872090508,0.0007364425727846567,0.000952065494493684,0.39921037534845016,6.03290331605451,Upstream Repression
676,"((0, 0, 1), (1, 0, 0))",0.07154607628317124,2.849370363957171e-05,1.908517835961005e-05,2.7373182337516706,5.53043866675114,Downstream Activation
677,"((0, 0, 1), (1, 0, 0))",0.43882559718951947,1.225117963764695e-06,0.00011359844408033889,7.043671188770714,9.191353259114155,Downstream Activation
678,"((0, 0, 1), (1, 0, 0))",0.5084683464299246,0.0009578234795138908,4.596175460541115e-05,7.57720376924413,8.493741526756203,Downstream Activation
679,"((0, 1, 0), (1, 0, 0))",0.06699776929320506,0.0001914500266952425,2.9318221066714216e-05,8.331840561422812,7.761019953510759,Dual Control
680,"((0, 0, 1), (1, 0, 0))",0.10418220107402638,0.000132521635110584,9.9038835877988e-05,8.531687672352255,5.857057636336954,Downstream Activation
681,"((0, 0, 1), (0, 0, 1))",0.2457650504667042,0.00036763219800596417,9.391492421034233e-05,0.8371866294765757,1.5825554738134642,No Control
682,"((0, 0, 1), (1, 0, 0))",0.1945780733674429,0.00025727005991056813,0.000520598819558029,9.8358788751093,6.495934547272997,Downstream Activation
683,"((0, 0, 1), (1, 0, 0))",0.08181881992355299,6.987287178257122e-05,0.000614178045186076,8.729702178042317,9.735668131875885,Downstream Activation
684,"((0, 0, 1), (1, 0, 0))",0.09339058577016775,1.8608608859874748e-05,6.52091401421682e-05,9.255785763674632,7.3956754682065995,Downstream Activation
685,"((0, 0, 1), (1, 0, 0))",0.09328995530971708,0.00010884865102117052,0.00017053263510330384,8.21533181488683,8.222871379095794,Downstream Activation
686,"((0, 1, 0), (0, 0, 1))",0.5572339183567466,0.0004143575684423873,0.0006562734063101313,8.62279606602435,7.180667918434644,Upstream Repression
687,"((0, 0, 1), (1, 0, 0))",0.13900087266869254,0.0001837048959860688,0.0002103201598099354,9.61748563067163,8.968563427689046,Downstream Activation
688,"((0, 0, 1), (1, 0, 0))",0.48970436000718953,2.4631797683186054e-07,0.00028798405926991344,4.9833407821870574,2.806990568121816,Downstream Activation
689,"((0, 0, 1), (1, 0, 0))",0.08168646674093574,5.611583636574589e-05,0.0006699838531132834,7.883343457384855,7.875730091818992,Downstream Activation
690,"((0, 1, 0), (1, 0, 0))",0.561164700738139,0.0009085336547286872,0.0006754664403753925,6.059252920292123,1.580759519766362,Dual Control
691,"((0, 0, 1), (1, 0, 0))",0.13031222014234137,0.00020525876581873839,3.3864542931019736e-05,9.988553630728516,6.74998332078552,Downstream Activation
692,"((0, 0, 1), (1, 0, 0))",0.08062090171545394,9.025530991090619e-05,0.0001314434056098771,8.846414772561573,9.353336901547316,Downstream Activation
693,"((0, 0, 1), (0, 0, 1))",0.24008056639921374,0.00015978424993227887,0.00028704078190220023,3.066699882419858,9.660915484856531,No Control
694,"((0, 0, 1), (1, 0, 0))",0.06391696360067821,3.8101224114533674e-05,8.238869918120744e-05,3.286378066612998,8.786521280643466,Downstream Activation
695,"((0, 0, 1), (1, 0, 0))",0.12912062197674215,0.00015120444697393302,0.000645897698948283,9.435223705013328,8.39928765439387,Downstream Activation
696,"((0, 0, 1), (1, 0, 0))",0.08952033208443616,0.00012063095833777184,5.764102214862425e-05,6.849189474457128,9.99610538683682,Downstream Activation
697,"((0, 1, 0), (0, 0, 1))",0.5795984410275432,0.0003515396580063459,0.0007689595971156142,5.7824665760439915,8.026528371631137,Upstream Repression
698,"((0, 0, 1), (1, 0, 0))",0.07149338049711171,7.31155829307963e-05,2.0096694419813426e-05,9.121457475862309,9.647695659667901,Downstream Activation
699,"((0, 0, 1), (1, 0, 0))",0.06717771116716374,4.692591349299196e-05,0.00018950759233186178,9.80177361692342,9.154442057816851,Downstream Activation
700,"((0, 0, 1), (1, 0, 0))",0.5468023038426305,0.0009227658401227681,0.00038719821817844493,8.69945604695485,4.871433608333201,Downstream Activation
701,"((0, 1, 0), (1, 0, 0))",0.3016716170281272,0.00022431737892072414,0.0002814775370720585,0.24698583499271987,5.080590541854432,Dual Control
702,"((0, 0, 1), (1, 0, 0))",0.09740462489016752,1.8627512056705532e-05,0.00015294840097826318,9.996229367266132,7.769082556582401,Downstream Activation
703,"((0, 0, 1), (0, 0, 1))",0.33358439547760127,2.0625380763378645e-05,0.0005251287684123128,0.037690741590159504,3.8167393442503177,No Control
704,"((0, 0, 1), (1, 0, 0))",0.4731529193273678,5.354794850372197e-07,0.00011542236242867169,8.506125163944215,9.840147983455758,Downstream Activation
705,"((0, 0, 1), (1, 0, 0))",0.5847572140194335,0.000286595673579453,1.099816848494028e-06,9.583965448353293,8.123259096565157,Downstream Activation
706,"((0, 0, 1), (1, 0, 0))",0.11507060837311474,0.0001630034879972637,9.270119773080207e-05,6.277528713309936,9.499267920505545,Downstream Activation
707,"((0, 0, 1), (1, 0, 0))",0.24576782516619225,0.0004296834419268658,5.346981655007176e-05,8.943548965609542,6.992821117007709,Downstream Activation
